Lap 1/70 -> Compound: 'Medium', TyreAge: 0 Laps, TyreWear: FL:0.0% FR:0.0% RL:0.0 RR:0.0%, FuelLoad: 103.29 Kg, PitStop: No, LapTime: 01:15.996 (hh:)mm:ss.ms
Lap 2/70 -> Compound: 'Medium', TyreAge: 1 Laps, TyreWear: FL:1.0% FR:1.0% RL:1.0 RR:1.0%, FuelLoad: 101.81 Kg, PitStop: No, LapTime: 01:14.012 (hh:)mm:ss.ms
Lap 3/70 -> Compound: 'Medium', TyreAge: 2 Laps, TyreWear: FL:2.0% FR:2.0% RL:3.0 RR:2.0%, FuelLoad: 100.34 Kg, PitStop: No, LapTime: 01:14.052 (hh:)mm:ss.ms
Lap 4/70 -> Compound: 'Medium', TyreAge: 3 Laps, TyreWear: FL:4.0% FR:3.0% RL:4.0 RR:4.0%, FuelLoad: 98.86 Kg, PitStop: No, LapTime: 01:14.116 (hh:)mm:ss.ms
Lap 5/70 -> Compound: 'Medium', TyreAge: 4 Laps, TyreWear: FL:5.0% FR:4.0% RL:5.0 RR:5.0%, FuelLoad: 97.39 Kg, PitStop: No, LapTime: 01:14.132 (hh:)mm:ss.ms
Lap 6/70 -> Compound: 'Medium', TyreAge: 5 Laps, TyreWear: FL:6.0% FR:5.0% RL:6.0 RR:6.0%, FuelLoad: 95.91 Kg, PitStop: No, LapTime: 01:14.148 (hh:)mm:ss.ms
Lap 7/70 -> Compound: 'Medium', TyreAge: 6 Laps, TyreWear: FL:7.0% FR:7.0% RL:8.0 RR:7.0%, FuelLoad: 94.44 Kg, PitStop: No, LapTime: 01:14.212 (hh:)mm:ss.ms
Lap 8/70 -> Compound: 'Medium', TyreAge: 7 Laps, TyreWear: FL:8.0% FR:8.0% RL:9.0 RR:8.0%, FuelLoad: 92.96 Kg, PitStop: No, LapTime: 01:14.228 (hh:)mm:ss.ms
Lap 9/70 -> Compound: 'Medium', TyreAge: 8 Laps, TyreWear: FL:10.0% FR:9.0% RL:10.0 RR:10.0%, FuelLoad: 91.49 Kg, PitStop: No, LapTime: 01:14.292 (hh:)mm:ss.ms
Lap 10/70 -> Compound: 'Medium', TyreAge: 9 Laps, TyreWear: FL:11.0% FR:10.0% RL:11.0 RR:11.0%, FuelLoad: 90.01 Kg, PitStop: No, LapTime: 01:14.308 (hh:)mm:ss.ms
Lap 11/70 -> Compound: 'Medium', TyreAge: 10 Laps, TyreWear: FL:12.0% FR:11.0% RL:13.0 RR:12.0%, FuelLoad: 88.53 Kg, PitStop: No, LapTime: 01:14.348 (hh:)mm:ss.ms
