Lap 1/66 -> Compound: 'Medium', TyresAge: 0 Laps, TyresWear: {'FL': 0.0, 'FR': 0.0, 'RL': 0.0, 'RR': 0.0}, FuelLoad: 104.94 Kg, PitStop: No, LapTime: 01:24.370 (hh:)mm:ss.ms
Lap 2/66 -> Compound: 'Medium', TyresAge: 1 Laps, TyresWear: {'FL': 0.02, 'FR': 0.01, 'RL': 0.01, 'RR': 0.01}, FuelLoad: 103.35 Kg, PitStop: No, LapTime: 01:22.356 (hh:)mm:ss.ms
Lap 3/66 -> Compound: 'Medium', TyresAge: 2 Laps, TyresWear: {'FL': 0.03, 'FR': 0.02, 'RL': 0.03, 'RR': 0.02}, FuelLoad: 101.76 Kg, PitStop: No, LapTime: 01:22.298 (hh:)mm:ss.ms
Lap 4/66 -> Compound: 'Medium', TyresAge: 3 Laps, TyresWear: {'FL': 0.05, 'FR': 0.04, 'RL': 0.04, 'RR': 0.03}, FuelLoad: 100.17 Kg, PitStop: No, LapTime: 01:22.244 (hh:)mm:ss.ms
Lap 5/66 -> Compound: 'Medium', TyresAge: 4 Laps, TyresWear: {'FL': 0.06, 'FR': 0.05, 'RL': 0.05, 'RR': 0.05}, FuelLoad: 98.58 Kg, PitStop: No, LapTime: 01:22.186 (hh:)mm:ss.ms
Lap 6/66 -> Compound: 'Medium', TyresAge: 5 Laps, TyresWear: {'FL': 0.08, 'FR': 0.06, 'RL': 0.07, 'RR': 0.06}, FuelLoad: 96.99 Kg, PitStop: No, LapTime: 01:22.134 (hh:)mm:ss.ms
Lap 7/66 -> Compound: 'Medium', TyresAge: 6 Laps, TyresWear: {'FL': 0.09, 'FR': 0.07, 'RL': 0.08, 'RR': 0.07}, FuelLoad: 95.4 Kg, PitStop: No, LapTime: 01:22.070 (hh:)mm:ss.ms
Lap 8/66 -> Compound: 'Medium', TyresAge: 7 Laps, TyresWear: {'FL': 0.11, 'FR': 0.08, 'RL': 0.09, 'RR': 0.08}, FuelLoad: 93.81 Kg, PitStop: No, LapTime: 01:22.012 (hh:)mm:ss.ms
Lap 9/66 -> Compound: 'Medium', TyresAge: 8 Laps, TyresWear: {'FL': 0.12, 'FR': 0.1, 'RL': 0.1, 'RR': 0.09}, FuelLoad: 92.22 Kg, PitStop: No, LapTime: 01:21.954 (hh:)mm:ss.ms
Lap 10/66 -> Compound: 'Medium', TyresAge: 9 Laps, TyresWear: {'FL': 0.14, 'FR': 0.11, 'RL': 0.12, 'RR': 0.1}, FuelLoad: 90.63 Kg, PitStop: No, LapTime: 01:21.900 (hh:)mm:ss.ms
Lap 11/66 -> Compound: 'Medium', TyresAge: 10 Laps, TyresWear: {'FL': 0.16, 'FR': 0.12, 'RL': 0.13, 'RR': 0.12}, FuelLoad: 89.04 Kg, PitStop: No, LapTime: 01:21.850 (hh:)mm:ss.ms
Lap 12/66 -> Compound: 'Medium', TyresAge: 11 Laps, TyresWear: {'FL': 0.17, 'FR': 0.13, 'RL': 0.14, 'RR': 0.13}, FuelLoad: 87.45 Kg, PitStop: No, LapTime: 01:21.788 (hh:)mm:ss.ms
Lap 13/66 -> Compound: 'Medium', TyresAge: 12 Laps, TyresWear: {'FL': 0.19, 'FR': 0.14, 'RL': 0.16, 'RR': 0.14}, FuelLoad: 85.86 Kg, PitStop: No, LapTime: 01:21.738 (hh:)mm:ss.ms
Lap 14/66 -> Compound: 'Medium', TyresAge: 13 Laps, TyresWear: {'FL': 0.2, 'FR': 0.16, 'RL': 0.17, 'RR': 0.15}, FuelLoad: 84.27 Kg, PitStop: No, LapTime: 01:21.682 (hh:)mm:ss.ms
Lap 15/66 -> Compound: 'Medium', TyresAge: 14 Laps, TyresWear: {'FL': 0.22, 'FR': 0.17, 'RL': 0.18, 'RR': 0.16}, FuelLoad: 82.68 Kg, PitStop: No, LapTime: 01:21.624 (hh:)mm:ss.ms
Lap 16/66 -> Compound: 'Medium', TyresAge: 15 Laps, TyresWear: {'FL': 0.23, 'FR': 0.18, 'RL': 0.2, 'RR': 0.17}, FuelLoad: 81.09 Kg, PitStop: No, LapTime: 01:21.570 (hh:)mm:ss.ms
Lap 17/66 -> Compound: 'Medium', TyresAge: 16 Laps, TyresWear: {'FL': 0.25, 'FR': 0.19, 'RL': 0.21, 'RR': 0.18}, FuelLoad: 79.5 Kg, PitStop: No, LapTime: 01:21.516 (hh:)mm:ss.ms
Lap 18/66 -> Compound: 'Medium', TyresAge: 17 Laps, TyresWear: {'FL': 0.27, 'FR': 0.2, 'RL': 0.22, 'RR': 0.2}, FuelLoad: 77.91 Kg, PitStop: No, LapTime: 01:21.468 (hh:)mm:ss.ms
Lap 19/66 -> Compound: 'Medium', TyresAge: 18 Laps, TyresWear: {'FL': 0.28, 'FR': 0.22, 'RL': 0.23, 'RR': 0.21}, FuelLoad: 76.32 Kg, PitStop: No, LapTime: 01:21.414 (hh:)mm:ss.ms
Lap 20/66 -> Compound: 'Medium', TyresAge: 19 Laps, TyresWear: {'FL': 0.3, 'FR': 0.23, 'RL': 0.25, 'RR': 0.22}, FuelLoad: 74.73 Kg, PitStop: No, LapTime: 01:21.366 (hh:)mm:ss.ms
Lap 21/66 -> Compound: 'Medium', TyresAge: 20 Laps, TyresWear: {'FL': 0.31, 'FR': 0.24, 'RL': 0.26, 'RR': 0.23}, FuelLoad: 73.14 Kg, PitStop: No, LapTime: 01:21.306 (hh:)mm:ss.ms
Lap 22/66 -> Compound: 'Medium', TyresAge: 21 Laps, TyresWear: {'FL': 0.33, 'FR': 0.25, 'RL': 0.27, 'RR': 0.24}, FuelLoad: 71.55 Kg, PitStop: No, LapTime: 01:21.256 (hh:)mm:ss.ms
Lap 23/66 -> Compound: 'Medium', TyresAge: 22 Laps, TyresWear: {'FL': 0.34, 'FR': 0.26, 'RL': 0.29, 'RR': 0.25}, FuelLoad: 69.96 Kg, PitStop: No, LapTime: 01:21.202 (hh:)mm:ss.ms
Lap 24/66 -> Compound: 'Medium', TyresAge: 23 Laps, TyresWear: {'FL': 0.36, 'FR': 0.28, 'RL': 0.3, 'RR': 0.27}, FuelLoad: 68.37 Kg, PitStop: No, LapTime: 01:21.166 (hh:)mm:ss.ms
Lap 25/66 -> Compound: 'Medium', TyresAge: 24 Laps, TyresWear: {'FL': 0.37, 'FR': 0.29, 'RL': 0.31, 'RR': 0.28}, FuelLoad: 66.78 Kg, PitStop: No, LapTime: 01:21.110 (hh:)mm:ss.ms
Lap 26/66 -> Compound: 'Medium', TyresAge: 25 Laps, TyresWear: {'FL': 0.39, 'FR': 0.3, 'RL': 0.33, 'RR': 0.29}, FuelLoad: 65.19 Kg, PitStop: No, LapTime: 01:21.070 (hh:)mm:ss.ms
Lap 27/66 -> Compound: 'Medium', TyresAge: 26 Laps, TyresWear: {'FL': 0.41, 'FR': 0.31, 'RL': 0.34, 'RR': 0.3}, FuelLoad: 63.6 Kg, PitStop: No, LapTime: 01:21.022 (hh:)mm:ss.ms
Lap 28/66 -> Compound: 'Medium', TyresAge: 27 Laps, TyresWear: {'FL': 0.42, 'FR': 0.32, 'RL': 0.35, 'RR': 0.31}, FuelLoad: 62.01 Kg, PitStop: No, LapTime: 01:20.964 (hh:)mm:ss.ms
Lap 29/66 -> Compound: 'Medium', TyresAge: 28 Laps, TyresWear: {'FL': 0.44, 'FR': 0.34, 'RL': 0.36, 'RR': 0.32}, FuelLoad: 60.42 Kg, PitStop: No, LapTime: 01:20.926 (hh:)mm:ss.ms
Lap 30/66 -> Compound: 'Medium', TyresAge: 29 Laps, TyresWear: {'FL': 0.45, 'FR': 0.35, 'RL': 0.38, 'RR': 0.33}, FuelLoad: 58.83 Kg, PitStop: No, LapTime: 01:20.880 (hh:)mm:ss.ms
Lap 31/66 -> Compound: 'Medium', TyresAge: 30 Laps, TyresWear: {'FL': 0.47, 'FR': 0.36, 'RL': 0.39, 'RR': 0.35}, FuelLoad: 57.24 Kg, PitStop: No, LapTime: 01:20.844 (hh:)mm:ss.ms
Lap 32/66 -> Compound: 'Medium', TyresAge: 31 Laps, TyresWear: {'FL': 0.48, 'FR': 0.37, 'RL': 0.4, 'RR': 0.36}, FuelLoad: 55.65 Kg, PitStop: No, LapTime: 01:20.792 (hh:)mm:ss.ms
Lap 33/66 -> Compound: 'Medium', TyresAge: 32 Laps, TyresWear: {'FL': 0.5, 'FR': 0.38, 'RL': 0.42, 'RR': 0.37}, FuelLoad: 54.06 Kg, PitStop: No, LapTime: 01:20.758 (hh:)mm:ss.ms
Lap 34/66 -> Compound: 'Medium', TyresAge: 33 Laps, TyresWear: {'FL': 0.51, 'FR': 0.4, 'RL': 0.43, 'RR': 0.38}, FuelLoad: 52.47 Kg, PitStop: No, LapTime: 01:20.716 (hh:)mm:ss.ms
Lap 35/66 -> Compound: 'Soft', TyresAge: 0 Laps, TyresWear: {'FL': 0.0, 'FR': 0.0, 'RL': 0.0, 'RR': 0.0}, FuelLoad: 50.88 Kg, PitStop: Yes, LapTime: 01:41.025 (hh:)mm:ss.ms
Lap 36/66 -> Compound: 'Soft', TyresAge: 1 Laps, TyresWear: {'FL': 0.02, 'FR': 0.02, 'RL': 0.02, 'RR': 0.02}, FuelLoad: 49.29 Kg, PitStop: No, LapTime: 01:18.979 (hh:)mm:ss.ms
Lap 37/66 -> Compound: 'Soft', TyresAge: 2 Laps, TyresWear: {'FL': 0.04, 'FR': 0.03, 'RL': 0.04, 'RR': 0.03}, FuelLoad: 47.7 Kg, PitStop: No, LapTime: 01:18.922 (hh:)mm:ss.ms
Lap 38/66 -> Compound: 'Soft', TyresAge: 3 Laps, TyresWear: {'FL': 0.06, 'FR': 0.05, 'RL': 0.06, 'RR': 0.05}, FuelLoad: 46.11 Kg, PitStop: No, LapTime: 01:18.875 (hh:)mm:ss.ms
Lap 39/66 -> Compound: 'Soft', TyresAge: 4 Laps, TyresWear: {'FL': 0.09, 'FR': 0.07, 'RL': 0.07, 'RR': 0.07}, FuelLoad: 44.52 Kg, PitStop: No, LapTime: 01:18.829 (hh:)mm:ss.ms
Lap 40/66 -> Compound: 'Soft', TyresAge: 5 Laps, TyresWear: {'FL': 0.11, 'FR': 0.08, 'RL': 0.09, 'RR': 0.08}, FuelLoad: 42.93 Kg, PitStop: No, LapTime: 01:18.773 (hh:)mm:ss.ms
Lap 41/66 -> Compound: 'Soft', TyresAge: 6 Laps, TyresWear: {'FL': 0.13, 'FR': 0.1, 'RL': 0.11, 'RR': 0.1}, FuelLoad: 41.34 Kg, PitStop: No, LapTime: 01:18.727 (hh:)mm:ss.ms
Lap 42/66 -> Compound: 'Soft', TyresAge: 7 Laps, TyresWear: {'FL': 0.15, 'FR': 0.12, 'RL': 0.13, 'RR': 0.12}, FuelLoad: 39.75 Kg, PitStop: No, LapTime: 01:18.684 (hh:)mm:ss.ms
Lap 43/66 -> Compound: 'Soft', TyresAge: 8 Laps, TyresWear: {'FL': 0.17, 'FR': 0.14, 'RL': 0.15, 'RR': 0.13}, FuelLoad: 38.16 Kg, PitStop: No, LapTime: 01:18.633 (hh:)mm:ss.ms
Lap 44/66 -> Compound: 'Soft', TyresAge: 9 Laps, TyresWear: {'FL': 0.19, 'FR': 0.15, 'RL': 0.17, 'RR': 0.15}, FuelLoad: 36.57 Kg, PitStop: No, LapTime: 01:18.585 (hh:)mm:ss.ms
Lap 45/66 -> Compound: 'Soft', TyresAge: 10 Laps, TyresWear: {'FL': 0.22, 'FR': 0.17, 'RL': 0.19, 'RR': 0.17}, FuelLoad: 34.98 Kg, PitStop: No, LapTime: 01:18.546 (hh:)mm:ss.ms
Lap 46/66 -> Compound: 'Soft', TyresAge: 11 Laps, TyresWear: {'FL': 0.24, 'FR': 0.19, 'RL': 0.21, 'RR': 0.18}, FuelLoad: 33.39 Kg, PitStop: No, LapTime: 01:18.499 (hh:)mm:ss.ms
Lap 47/66 -> Compound: 'Soft', TyresAge: 12 Laps, TyresWear: {'FL': 0.26, 'FR': 0.2, 'RL': 0.22, 'RR': 0.2}, FuelLoad: 31.8 Kg, PitStop: No, LapTime: 01:18.446 (hh:)mm:ss.ms
Lap 48/66 -> Compound: 'Soft', TyresAge: 13 Laps, TyresWear: {'FL': 0.28, 'FR': 0.22, 'RL': 0.24, 'RR': 0.22}, FuelLoad: 30.21 Kg, PitStop: No, LapTime: 01:18.406 (hh:)mm:ss.ms
Lap 49/66 -> Compound: 'Soft', TyresAge: 14 Laps, TyresWear: {'FL': 0.3, 'FR': 0.24, 'RL': 0.26, 'RR': 0.23}, FuelLoad: 28.62 Kg, PitStop: No, LapTime: 01:18.362 (hh:)mm:ss.ms
Lap 50/66 -> Compound: 'Soft', TyresAge: 15 Laps, TyresWear: {'FL': 0.32, 'FR': 0.25, 'RL': 0.28, 'RR': 0.25}, FuelLoad: 27.03 Kg, PitStop: No, LapTime: 01:18.318 (hh:)mm:ss.ms
Lap 51/66 -> Compound: 'Soft', TyresAge: 16 Laps, TyresWear: {'FL': 0.35, 'FR': 0.27, 'RL': 0.3, 'RR': 0.26}, FuelLoad: 25.44 Kg, PitStop: No, LapTime: 01:18.283 (hh:)mm:ss.ms
Lap 52/66 -> Compound: 'Soft', TyresAge: 17 Laps, TyresWear: {'FL': 0.37, 'FR': 0.29, 'RL': 0.32, 'RR': 0.28}, FuelLoad: 23.85 Kg, PitStop: No, LapTime: 01:18.248 (hh:)mm:ss.ms
Lap 53/66 -> Compound: 'Soft', TyresAge: 18 Laps, TyresWear: {'FL': 0.39, 'FR': 0.3, 'RL': 0.34, 'RR': 0.3}, FuelLoad: 22.26 Kg, PitStop: No, LapTime: 01:18.208 (hh:)mm:ss.ms
Lap 54/66 -> Compound: 'Soft', TyresAge: 19 Laps, TyresWear: {'FL': 0.41, 'FR': 0.32, 'RL': 0.35, 'RR': 0.31}, FuelLoad: 20.67 Kg, PitStop: No, LapTime: 01:18.163 (hh:)mm:ss.ms
Lap 55/66 -> Compound: 'Soft', TyresAge: 20 Laps, TyresWear: {'FL': 0.43, 'FR': 0.34, 'RL': 0.37, 'RR': 0.33}, FuelLoad: 19.08 Kg, PitStop: No, LapTime: 01:18.132 (hh:)mm:ss.ms
Lap 56/66 -> Compound: 'Soft', TyresAge: 21 Laps, TyresWear: {'FL': 0.45, 'FR': 0.36, 'RL': 0.39, 'RR': 0.35}, FuelLoad: 17.49 Kg, PitStop: No, LapTime: 01:18.104 (hh:)mm:ss.ms
Lap 57/66 -> Compound: 'Soft', TyresAge: 22 Laps, TyresWear: {'FL': 0.47, 'FR': 0.37, 'RL': 0.41, 'RR': 0.36}, FuelLoad: 15.9 Kg, PitStop: No, LapTime: 01:18.063 (hh:)mm:ss.ms
Lap 58/66 -> Compound: 'Soft', TyresAge: 23 Laps, TyresWear: {'FL': 0.5, 'FR': 0.39, 'RL': 0.43, 'RR': 0.38}, FuelLoad: 14.31 Kg, PitStop: No, LapTime: 01:18.047 (hh:)mm:ss.ms
Lap 59/66 -> Compound: 'Soft', TyresAge: 24 Laps, TyresWear: {'FL': 0.52, 'FR': 0.41, 'RL': 0.45, 'RR': 0.4}, FuelLoad: 12.72 Kg, PitStop: No, LapTime: 01:18.025 (hh:)mm:ss.ms
Lap 60/66 -> Compound: 'Soft', TyresAge: 25 Laps, TyresWear: {'FL': 0.54, 'FR': 0.42, 'RL': 0.47, 'RR': 0.41}, FuelLoad: 11.13 Kg, PitStop: No, LapTime: 01:17.988 (hh:)mm:ss.ms
Lap 61/66 -> Compound: 'Soft', TyresAge: 26 Laps, TyresWear: {'FL': 0.56, 'FR': 0.44, 'RL': 0.49, 'RR': 0.43}, FuelLoad: 9.54 Kg, PitStop: No, LapTime: 01:17.970 (hh:)mm:ss.ms
Lap 62/66 -> Compound: 'Soft', TyresAge: 27 Laps, TyresWear: {'FL': 0.58, 'FR': 0.46, 'RL': 0.5, 'RR': 0.45}, FuelLoad: 7.95 Kg, PitStop: No, LapTime: 01:17.945 (hh:)mm:ss.ms
Lap 63/66 -> Compound: 'Soft', TyresAge: 28 Laps, TyresWear: {'FL': 0.6, 'FR': 0.47, 'RL': 0.52, 'RR': 0.46}, FuelLoad: 6.36 Kg, PitStop: No, LapTime: 01:17.913 (hh:)mm:ss.ms
